"name","id","tags","state_breakdown","waste_percentage","machine_type","coal_overhead","petroleum_overhead","natural_gas_overhead","nuclear_overhead","solar/pv_overhead","biomass_overhead","wind_overhead","hydroelectric_overhead","geothermal_overhead"
"chemicals",1039,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
"petrochemicals",1040,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"industrial gases",1041,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"other basic inorganic chemicals",1042,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"ethyl alcohol",1043,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"cyclic crudes, intermediate and gum and wood chemicals",1044,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"other basic organic chemicals",1045,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"plastics materials and resins",1046,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"synthetic rubber",1047,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"artificial and synthetic fibers and filaments",1048,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"nitrogenous fertilizers",1049,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"phosphatic fertilizers",1050,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"pharmaceuticals and medicines",1051,"{""mecs"":0,""naics"":0,""manufacturing"":0,""health"":0}","",0,0,0,0,0,0,0,0,0,"",""
"photographic film, paper, plate, and chemicals",1053,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"pharmaceutical preparation",1052,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"petrochemicals (passthrough1)",1040,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"industrial gases (passthrough1)",1041,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"other basic inorganic chemicals (passthrough1)",1042,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"ethyl alcohol (passthrough1)",1043,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"cyclic crudes, intermediate and gum and wood chemicals (passthrough1)",1044,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"other basic organic chemicals (passthrough1)",1045,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"plastics materials and resins (passthrough1)",1046,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"synthetic rubber (passthrough1)",1047,"{""mecs"":0,""naics"":0,""manufacturing"":0}","",0,0,0,0,0,0,0,0,0,"",""
"artificial and synthetic fibers and filaments (passthrough1)",1048,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"nitrogenous fertilizers (passthrough1)",1049,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"phosphatic fertilizers (passthrough1)",1050,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"pharmaceuticals and medicines (passthrough1)",1051,"{""mecs"":0,""naics"":0,""manufacturing"":0,""health"":0}","",0,0,0,0,0,0,0,0,0,"",""
"photographic film, paper, plate, and chemicals (passthrough1)",1053,"{""mecs"":0,""naics"":0,""manufacturing"":0}","","",0,0,0,0,0,0,0,0,0,""
"plastics and rubber products",1054,"{""mecs"":0,""naics"":0,""manufacturing"":0,""stuff"":0}","",0,0,0,0,0,0,0,0,0,"",""
